reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27.0,50.0,21.0,8,0,56,2,74.49433940000017,,74.48204759999953,74.49433940000017,75.49455769999986,75.49455769999986,75.49455769999986,75.71421180000016,t,0.20074509999994916,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,8,1,57,6,75.72759789999964,,75.71468300000015,75.72759789999964,76.72770320000018,76.72770320000018,76.72770320000018,76.9141512999995,t,0.1826320999998643,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,8,2,58,5,76.92743999999948,,76.9171150000002,76.92743999999948,77.92756519999966,77.92756519999966,77.92756519999966,78.19548320000013,t,0.2603257999999187,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,8,3,59,1,78.2115960000001,,78.19722120000006,78.2115960000001,79.19404500000019,79.19404500000019,79.21144069999991,79.4152755999994,t,0.2150155999997878,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,8,4,60,4,79.42762080000011,,79.4167996999995,79.42762080000011,80.4272877000003,80.4272877000003,80.4272877000003,80.67851379999956,t,0.23440320000008796,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,8,5,61,3,80.6939298999996,,80.67904249999992,80.6939298999996,81.69412339999963,81.69412339999963,81.69412339999963,81.91206809999949,l,0.20271620000039547,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,8,6,62,0,81.92707590000009,,81.91263859999981,81.92707590000009,82.92712299999948,82.92712299999948,82.92712299999948,83.17858299999989,l,0.24326769999970566,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,9,0,63,2,83.19355050000013,,83.17936999999984,83.19355050000013,84.19393179999952,84.19393179999952,84.19393179999952,84.47812869999962,t,0.26747880000039004,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,9,1,64,3,84.49369519999982,,84.47860339999988,84.49369519999982,85.49381059999996,85.49381059999996,85.49381059999996,85.76153879999947,l,0.2594509000000471,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,9,2,65,1,85.78158879999955,,85.76313310000023,85.78158879999955,86.77691510000022,86.77691510000022,86.79374519999965,86.87818319999951,t,0.08448140000018611,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
